,name,party,firstname,lastname,position
127,"Palola, Mikael",kok,Mikael,Palola, 
128,"Paloniemi, Aila",kesk,Aila,Paloniemi, 
129,"Pekkarinen, Mauri",kesk,Mauri,Pekkarinen, 
130,"Pekonen, Aino-Kaisa",vas,Aino-Kaisa,Pekonen, 
131,"Pelkonen, Jaana",kok,Jaana,Pelkonen, 
132,"Peltokorpi, Terhi",kesk,Terhi,Peltokorpi, 
133,"Peltonen, Tuula",sd,Tuula,Peltonen, 
134,"Piirainen, Raimo",sd,Raimo,Piirainen, 
135,"Pirttilahti, Arto",kesk,Arto,Pirttilahti, 
136,"Puumala, Tuomo",kesk,Tuomo,Puumala, 
137,"Raatikainen, Mika",ps,Mika,Raatikainen, 
138,"Rajamäki, Kari",sd,Kari,Rajamäki, 
139,"Rantakangas, Antti",kesk,Antti,Rantakangas, 
140,"Rauhala, Leena",kd,Leena,Rauhala, 
141,"Ravi, Pekka",kok,Pekka,Ravi, 
142,"Rehula, Juha",kesk,Juha,Rehula, 
143,"Reijonen, Eero",kesk,Eero,Reijonen, 
144,"Risikko, Paula",kok,Paula,Risikko, Sosiaali- ja terveysministeri;;Liikenne- ja kuntaministeri;;
145,"Rossi, Markku",kesk,Markku,Rossi, 
146,"Rundgren, Simo",kesk,Simo,Rundgren, 
147,"Ruohonen-Lerner, Pirkko",ps,Pirkko,Ruohonen-Lerner, 
148,"Räsänen, Päivi",kd,Päivi,Räsänen, Sisäasiainministeri;; Sisäministeri;;Sisäministeri;; Sisäministeri;;
149,"Saarakkala, Vesa-Matti",ps,Vesa-Matti,Saarakkala, 
150,"Saarikko, Annika",kesk,Annika,Saarikko, 
151,"Saarinen, Matti",sd,Matti,Saarinen, 
152,"Salolainen, Pertti",kok,Pertti,Salolainen, 
153,"Salonen, Kristiina",sd,Kristiina,Salonen, 
154,"Sankelo, Janne",kok,Janne,Sankelo, 
155,"Sarkomaa, Sari",kok,Sari,Sarkomaa, 
156,"Sasi, Kimmo",kok,Kimmo,Sasi, 
157,"Satonen, Arto",kok,Arto,Satonen, 
158,"Savola, Mikko",kesk,Mikko,Savola, 
159,"Sinnemäki, Anni",vihr,Anni,Sinnemäki, 
160,"Sipilä, Juha",kesk,Juha,Sipilä, 
161,"Skinnari, Jouko",sd,Jouko,Skinnari, 
162,"Soini, Timo",ps,Timo,Soini, 
163,"Soininvaara, Osmo",vihr,Osmo,Soininvaara, 
164,"Soukola, Ismo",ps,Ismo,Soukola, 
165,"Stubb, Alexander",kok,Alexander,Stubb, Eurooppa- ja ulkomaankauppaministeri;;Pääministeri;;
166,"Sumuvuori, Johanna",vihr,Johanna,Sumuvuori, 
167,"Suutari, Eero",kok,Eero,Suutari, 
168,"Taimela, Katja",sd,Katja,Taimela, 
169,"Tainio, Hanna",sd,Hanna,Tainio, 
170,"Thors, Astrid",r,Astrid,Thors, 
171,"Tiainen, Eila",vas,Eila,Tiainen, 
172,"Tiilikainen, Kimmo",kesk,Kimmo,Tiilikainen, 
173,"Toivakka, Lenita",kok,Lenita,Toivakka, Eurooppa- ja ulkomaankauppaministeri;;
174,"Toivola, Jani",vihr,Jani,Toivola, 
175,"Tolppanen, Maria",ps,Maria,Tolppanen, 
176,"Tolvanen, Kari",kok,Kari,Tolvanen, 
177,"Torniainen, Ari",kesk,Ari,Torniainen, 
178,"Tossavainen, Reijo",ps,Reijo,Tossavainen, 
179,"Tuomioja, Erkki",sd,Erkki,Tuomioja, Ulkoasiainministeri;;Ulkoasiainministeri;;
180,"Tuppurainen, Tytti",sd,Tytti,Tuppurainen, 
181,"Turunen, Kaj",ps,Kaj,Turunen, 
182,"Tuupainen, Kauko",ps,Kauko,Tuupainen, 
183,"Tynkkynen, Oras",vihr,Oras,Tynkkynen, 
184,"Tölli, Tapani",kesk,Tapani,Tölli, 
185,"Uotila, Kari",vas,Kari,Uotila, 
186,"Urpalainen, Anu",kok,Anu,Urpalainen, 
187,"Urpilainen, Jutta",sd,Jutta,Urpilainen, Pääministerin sijainen;; Valtiovarainministeri;;
188,"Vahasalo, Raija",kok,Raija,Vahasalo, 
189,"Vapaavuori, Jan",kok,Jan,Vapaavuori, Elinkeinoministeri;;Elinkeinoministeri;; Elinkeinoministeri;;
190,"Vehkaperä, Mirja",kesk,Mirja,Vehkaperä, 
191,"Vehviläinen, Anu",kesk,Anu,Vehviläinen, 
192,"Viitamies, Pauliina",sd,Pauliina,Viitamies, 
193,"Viitanen, Pia",sd,Pia,Viitanen, Kulttuuri- ja asuntoministeri;; Asunto- ja viestintäministeri;;Kulttuuri- ja asuntoministeri;;
194,"Vikman, Sofia",kok,Sofia,Vikman, 
195,"Virkkunen, Henna",kok,Henna,Virkkunen, Hallinto- ja kuntaministeri;; Liikenne- ja kuntaministeri;;
196,"Virolainen, Anne-Mari",kok,Anne-Mari,Virolainen, 
197,"Virtanen, Erkki",vas,Erkki,Virtanen, 
198,"Virtanen, Pertti",ps,Pertti,Virtanen, 
199,"Vähämäki, Ville",ps,Ville,Vähämäki, 
200,"Väätäinen, Juha",ps,Juha,Väätäinen, 
201,"Väätäinen, Tuula",sd,Tuula,Väätäinen, 
202,"Wallin, Harry",sd,Harry,Wallin, 
203,"Wallin, Stefan",r,Stefan,Wallin, Puolustusministeri;;
204,"Wallinheimo, Sinuhe",kok,Sinuhe,Wallinheimo, 
205,"Wideroos, Ulla-Maj",r,Ulla-Maj,Wideroos, 
206,"Yrttiaho, Jyrki",vr,Jyrki,Yrttiaho, 
207,"Zyskowicz, Ben",kok,Ben,Zyskowicz, 
208,"Östman, Peter",kd,Peter,Östman, 
