,name,party,firstname,lastname,position
113,"Mäkinen, Riitta",Sosiaalidemokraatit,Riitta,Mäkinen, 
114,"Mäkipää, Lea",Siniset,Lea,Mäkipää, 
115,"Mäkisalo-Ropponen, Merja",Sosiaalidemokraatit,Merja,Mäkisalo-Ropponen, 
116,"Mäntylä, Hanna",Siniset,Hanna,Mäntylä, Sosiaali- ja terveysministeri;;
117,"Mölsä, Martti",Siniset,Martti,Mölsä, 
118,"Niikko, Mika",Perussuomalaiset,Mika,Niikko, 
119,"Niinistö, Jussi",Siniset,Jussi,Niinistö, Puolustusministeri;; Puolustusministeri;;
120,"Niinistö, Ville",Vihreät,Ville,Niinistö, 
121,"Nivala, Eija",Keskusta,Eija,Nivala, 
122,"Nurminen, Ilmari",Sosiaalidemokraatit,Ilmari,Nurminen, 
123,"Nylander, Mikaela",RKP,Mikaela,Nylander, 
124,"Nylund, Mats",RKP,Mats,Nylund, 
125,"Oinonen, Pentti",Siniset,Pentti,Oinonen, 
126,"Ojala-Niemelä, Johanna",Sosiaalidemokraatit,Johanna,Ojala-Niemelä, 
127,"Orpo, Petteri",Kokoomus,Petteri,Orpo, Pääministerin sijainen;; Sisäministeri;; Valtiovarainministeri;;
128,"Paatero, Sirpa",Sosiaalidemokraatit,Sirpa,Paatero, 
129,"Packalén, Tom",Perussuomalaiset,Tom,Packalén, 
130,"Pakkanen, Markku",Keskusta,Markku,Pakkanen, 
131,"Paloniemi, Aila",Keskusta,Aila,Paloniemi, 
132,"Parviainen, Olli-Poika",Vihreät,Olli-Poika,Parviainen, 
133,"Parviainen, Ulla",Keskusta,Ulla,Parviainen, 
134,"Pekkarinen, Mauri",Keskusta,Mauri,Pekkarinen, 
135,"Pekonen, Aino-Kaisa",Vasemmistoliitto,Aino-Kaisa,Pekonen, 
136,"Pelkonen, Jaana",Kokoomus,Jaana,Pelkonen, 
137,"Pirttilahti, Arto",Keskusta,Arto,Pirttilahti, 
138,"Puska, Pekka",Keskusta,Pekka,Puska, 
139,"Puumala, Tuomo",Keskusta,Tuomo,Puumala, 
140,"Pylväs, Juha",Keskusta,Juha,Pylväs, 
141,"Raassina, Sari",Kokoomus,Sari,Raassina, 
142,"Raatikainen, Mika",Perussuomalaiset,Mika,Raatikainen, 
