,name,party,firstname,lastname,position
100,"Lax, Henrik",r,Henrik,Lax, 
101,"Laxell, Jouko",kok,Jouko,Laxell, 
102,"Lehtomäki, Paula",kesk,Paula,Lehtomäki, Ministeri valtioneuvoston kansliassa;; Ulkomaankauppa- ja kehitysministeri;; Ministeri kauppa- ja teollisuusministeriössä;;Ministeri valtioneuvoston kansliassa;; Ministeri valtioneuvoston kansliassa;; Ulkomaankauppa- ja kehitysministeri;; Ulkomaankauppa- ja kehitysministeri;;
103,"Leppä, Jari",kesk,Jari,Leppä, 
104,"Lindén, Suvi",kok,Suvi,Lindén, 
105,"Lindqvist, Maija-Liisa",kesk,Maija-Liisa,Lindqvist, 
106,"Lintilä, Mika",kesk,Mika,Lintilä, 
107,"Lintonen, Minna",sd,Minna,Lintonen, 
108,"Lipponen, Paavo",sd,Paavo,Lipponen, 
109,"Luhtanen, Leena",sd,Leena,Luhtanen, Liikenne- ja viestintäministeri;;Oikeusministeri;; Liikenne- ja viestintäministeri;;
110,"Lämsä, Eero",kesk,Eero,Lämsä, 
111,"Löv, Pehr",r,Pehr,Löv, 
112,"Manninen, Hannes",kesk,Hannes,Manninen, Alue- ja kuntaministeri;; Ministeri ympäristöministeriössä;;Alue- ja kuntaministeri;; Ministeri ympäristöministeriössä;;
113,"Matikainen-Kallström, Marjo",kok,Marjo,Matikainen-Kallström, 
114,"Meriläinen, Rosa",vihr,Rosa,Meriläinen, 
115,"Moilanen-Savolainen, Riikka",kesk,Riikka,Moilanen-Savolainen, 
116,"Mustajärvi, Markus",vas,Markus,Mustajärvi, 
117,"Mäkinen, Tapani",kok,Tapani,Mäkinen, 
118,"Mönkäre, Sinikka",sd,Sinikka,Mönkäre, Sosiaali- ja terveysministeri;;Sosiaali- ja terveysministeri;;
119,"Neittaanmäki, Petri",kesk,Petri,Neittaanmäki, 
120,"Nepponen, Olli",kok,Olli,Nepponen, 
121,"Nousiainen, Pekka",kesk,Pekka,Nousiainen, 
122,"Nurmi, Tuija",kok,Tuija,Nurmi, 
123,"Nylander, Mikaela",r,Mikaela,Nylander, 
124,"Oinonen, Lauri",kesk,Lauri,Oinonen, 
125,"Ojala, Outi",vas,Outi,Ojala, 
126,"Ojala, Reino",sd,Reino,Ojala, 
127,"Ojansuu, Kirsi",vihr,Kirsi,Ojansuu, 
128,"Olin, Kalevi",sd,Kalevi,Olin, 
129,"Ollila, Heikki",kok,Heikki,Ollila, 
130,"Paajanen, Reijo",kok,Reijo,Paajanen, 
131,"Paatero, Sirpa",sd,Sirpa,Paatero, 
132,"Paasio, Heli",sd,Heli,Paasio, 
133,"Paloniemi, Aila",kesk,Aila,Paloniemi, 
134,"Pekkarinen, Mauri",kesk,Mauri,Pekkarinen, Kauppa- ja teollisuusministeri;;Kauppa- ja teollisuusministeri;;
135,"Peltokorpi, Terhi",kesk,Terhi,Peltokorpi, 
136,"Peltomo, Pirkko",sd,Pirkko,Peltomo, 
137,"Pentti, Klaus",kesk,Klaus,Pentti, 
138,"Perho, Maija",kok,Maija,Perho, 
139,"Polvi, Iivo",vas,Iivo,Polvi, 
140,"Puhjo, Veijo",vas,Veijo,Puhjo, 
141,"Puisto, Virpa",sd,Virpa,Puisto, 
142,"Pulliainen, Erkki",vihr,Erkki,Pulliainen, 
143,"Rahkonen, Susanna",sd,Susanna,Rahkonen, 
144,"Rajala, Lyly",kd,Lyly,Rajala, 
145,"Rajamäki, Kari",sd,Kari,Rajamäki, Sisäasiainministeri;;Sisäasiainministeri;;
146,"Rantakangas, Antti",kesk,Antti,Rantakangas, 
147,"Ranta-Muotio, Aulis",kesk,Aulis,Ranta-Muotio, 
148,"Rask, Maija",sd,Maija,Rask, 
149,"Rauhala, Leena",kd,Leena,Rauhala, 
150,"Rehula, Juha",kesk,Juha,Rehula, 
151,"Reijonen, Eero",kesk,Eero,Reijonen, 
152,"Risikko, Paula",kok,Paula,Risikko, 
153,"Roos, Jukka",sd,Jukka,Roos, 
154,"Rossi, Markku",kesk,Markku,Rossi, 
155,"Rundgren, Simo",kesk,Simo,Rundgren, 
156,"Räsänen, Päivi",kd,Päivi,Räsänen, 
157,"Rönni, Tero",sd,Tero,Rönni, 
158,"Saarikangas, Martin",kok,Martin,Saarikangas, 
159,"Saarinen, Matti",sd,Matti,Saarinen, 
160,"Salo, Mauri",kesk,Mauri,Salo, 
161,"Salo, Petri",kok,Petri,Salo, 
162,"Salovaara, Pertti",kesk,Pertti,Salovaara, 
163,"Sarkomaa, Sari",kok,Sari,Sarkomaa, 
164,"Sasi, Kimmo",kok,Kimmo,Sasi, 
165,"Satonen, Arto",kok,Arto,Satonen, 
166,"Seppälä, Arto",sd,Arto,Seppälä, 
167,"Seppälä, Timo",kok,Timo,Seppälä, 
168,"Siimes, Suvi-Anne",vas,Suvi-Anne,Siimes, 
169,"Sinnemäki, Anni",vihr,Anni,Sinnemäki, 
170,"Sirnö, Minna",vas,Minna,Sirnö, 
171,"Sjöblom, Juhani",kok,Juhani,Sjöblom, 
172,"Skinnari, Jouko",sd,Jouko,Skinnari, 
173,"Soini, Timo",ps,Timo,Soini, 
174,"Soininvaara, Osmo",vihr,Osmo,Soininvaara, 
175,"Sumuvuori, Johanna",vihr,Johanna,Sumuvuori, 
176,"Särkiniemi, Seppo",kesk,Seppo,Särkiniemi, 
177,"Tahvanainen, Säde",sd,Säde,Tahvanainen, 
178,"Taipale, Ilkka",sd,Ilkka,Taipale, 
179,"Taiveaho, Satu",sd,Satu,Taiveaho, 
180,"Takkula, Hannu",kesk,Hannu,Takkula, 
181,"Tennilä, Esko-Juhani",vas,Esko-Juhani,Tennilä, 
182,"Thors, Astrid",r,Astrid,Thors, 
183,"Tiilikainen, Kimmo",kesk,Kimmo,Tiilikainen, 
184,"Tiura, Marja",kok,Marja,Tiura, 
185,"Tiusanen, Pentti",vas,Pentti,Tiusanen, 
186,"Tulonen, Irja",kok,Irja,Tulonen, 
187,"Tuomioja, Erkki",sd,Erkki,Tuomioja, Ulkoasiainministeri;;Ulkoasiainministeri;;
188,"Tynkkynen, Oras",vihr,Oras,Tynkkynen, 
189,"Tölli, Tapani",kesk,Tapani,Tölli, 
190,"Uotila, Kari",vas,Kari,Uotila, 
191,"Urpilainen, Jutta",sd,Jutta,Urpilainen, 
192,"Vahasalo, Raija",kok,Raija,Vahasalo, 
193,"Wallin, Harry",sd,Harry,Wallin, 
194,"Valpas, Unto",vas,Unto,Valpas, 
195,"Vanhanen, Matti",kesk,Matti,Vanhanen, Puolustusministeri;;Pääministeri;;
196,"Vapaavuori, Jan",kok,Jan,Vapaavuori, 
197,"Wideroos, Ulla-Maj",r,Ulla-Maj,Wideroos, Toinen valtiovarainministeri;;Toinen valtiovarainministeri;;
198,"Vielma, Ahti",kok,Ahti,Vielma, 
199,"Vihriälä, Jukka",kesk,Jukka,Vihriälä, 
200,"Viitanen, Pia",sd,Pia,Viitanen, 
201,"Vilén, Jari",kok,Jari,Vilén, 
202,"Vilkuna, Pekka",kesk,Pekka,Vilkuna, 
203,"Virén, Lasse",kok,Lasse,Virén, 
204,"Virtanen, Erkki",vas,Erkki,Virtanen, 
205,"Vistbacka, Raimo",ps,Raimo,Vistbacka, 
206,"Väistö, Matti",kesk,Matti,Väistö, 
207,"Väätäinen, Tuula",sd,Tuula,Väätäinen, 
208,"Ylä-Mononen, Jaana",kesk,Jaana,Ylä-Mononen, 
209,"Zyskowicz, Ben",kok,Ben,Zyskowicz, 
