,name,party,firstname,lastname,position,years,key
183,"Karjalainen, Tapio",SDP,Tapio,Karjalainen,,1999-2003,Tapio_Karjalainen
184,"Kautto, Tarja",SDP,Tarja,Kautto,,1999-2003,Tarja_Kautto
185,"Koski, Valto",SDP,Valto,Koski,,1999-2003,Valto_Koski
186,"Lahtela, Esa",SDP,Esa,Lahtela,,1999-2003,Esa_Lahtela
187,"Laitinen, Reijo",SDP,Reijo,Laitinen,,1999-2003,Reijo_Laitinen
188,"Luhtanen, Leena",SDP,Leena,Luhtanen,,1999-2003,Leena_Luhtanen
189,"Mikkola, Jukka",SDP,Jukka,Mikkola,,1999-2003,Jukka_Mikkola
190,"Mähönen, Raimo",SDP,Raimo,Mähönen,,1999-2003,Raimo_Mähönen
191,"Mönkäre, Sinikka",SDP,Sinikka,Mönkäre,Kauppa- ja teollisuusministeri;; Työministeri,1999-2003,Sinikka_Mönkäre
192,"Olin, Kalevi",SDP,Kalevi,Olin,,1999-2003,Kalevi_Olin
193,"Peltomo, Pirkko",SDP,Pirkko,Peltomo,,1999-2003,Pirkko_Peltomo
194,"Prusti, Riitta",SDP,Riitta,Prusti,,1999-2003,Riitta_Prusti
195,"Puisto, Virpa",SDP,Virpa,Puisto,,1999-2003,Virpa_Puisto
196,"Rahkonen, Susanna",SDP,Susanna,Rahkonen,,1999-2003,Susanna_Rahkonen
197,"Ranta, Jussi",SDP,Jussi,Ranta,,1999-2003,Jussi_Ranta
198,"Rask, Maija",SDP,Maija,Rask,Opetusministeri,1999-2003,Maija_Rask
199,"Rönni, Tero",SDP,Tero,Rönni,,1999-2003,Tero_Rönni
200,"Saarinen, Matti",SDP,Matti,Saarinen,,1999-2003,Matti_Saarinen
201,"Seppälä, Arto",SDP,Arto,Seppälä,,1999-2003,Arto_Seppälä
202,"Tahvanainen, Säde",SDP,Säde,Tahvanainen,,1999-2003,Säde_Tahvanainen
203,"Vehkaoja, Marjatta",SDP,Marjatta,Vehkaoja,,1999-2003,Marjatta_Vehkaoja
204,"Vähänäkki, Matti",SDP,Matti,Vähänäkki,,1999-2003,Matti_Vähänäkki
205,"Wallin, Harry",SDP,Harry,Wallin,,1999-2003,Harry_Wallin
206,"Hellberg, Klaus",SDP,Klaus,Hellberg,,1999-2003,Klaus_Hellberg
207,"Kuisma, Risto",remonttiryhmä,Risto,Kuisma,,1999-2003,Risto_Kuisma
0,"Ahde, Matti",SDP,Matti,Ahde, ,2003-2007,Matti_Ahde
1,"Ahonen, Esko",Keskusta,Esko,Ahonen, ,2003-2007,Esko_Ahonen
2,"Akaan-Penttilä, Eero",Kokoomus,Eero,Akaan-Penttilä, ,2003-2007,Eero_Akaan-Penttilä
3,"Ala-Nissilä, Olavi",Keskusta,Olavi,Ala-Nissilä, ,2003-2007,Olavi_Ala-Nissilä
4,"Alatalo, Mikko",Keskusta,Mikko,Alatalo, ,2003-2007,Mikko_Alatalo
5,"Alho, Arja",SDP,Arja,Alho, ,2003-2007,Arja_Alho
6,"Andersson, Janina",Vihreät,Janina,Andersson, ,2003-2007,Janina_Andersson
7,"Anttila, Sirkka-Liisa",Keskusta,Sirkka-Liisa,Anttila, ,2003-2007,Sirkka-Liisa_Anttila
8,"Anttila, Ulla",Vihreät,Ulla,Anttila, ,2003-2007,Ulla_Anttila
9,"Asko-Seljavaara, Sirpa",Kokoomus,Sirpa,Asko-Seljavaara, ,2003-2007,Sirpa_Asko-Seljavaara
10,"Backman, Jouni",SDP,Jouni,Backman, ,2003-2007,Jouni_Backman
11,"Biaudet, Eva",RKP,Eva,Biaudet, ,2003-2007,Eva_Biaudet
12,"Brax, Tuija",Vihreät,Tuija,Brax, ,2003-2007,Tuija_Brax
13,"Bryggare, Arto",SDP,Arto,Bryggare, ,2003-2007,Arto_Bryggare
14,"Cronberg, Tarja",Vihreät,Tarja,Cronberg, ,2003-2007,Tarja_Cronberg
15,"Donner, Jörn",RKP,Jörn,Donner, ,2003-2007,Jörn_Donner
16,"Dromberg, Kaarina",Kokoomus,Kaarina,Dromberg, ,2003-2007,Kaarina_Dromberg
17,"Elo, Mikko",SDP,Mikko,Elo, ,2003-2007,Mikko_Elo
18,"Enestam, Jan-Erik",RKP,Jan-Erik,Enestam, Ministeri ulkoasiainministeriössä;; Ympäristöministeri;;Ministeri ulkoasiainministeriössä;; Ympäristöministeri;;,2003-2007,Jan-Erik_Enestam
19,"Essayah, Sari",Kristillisdemokraatit,Sari,Essayah, ,2003-2007,Sari_Essayah
20,"Filatov, Tarja",SDP,Tarja,Filatov, Työministeri;;Työministeri;;,2003-2007,Tarja_Filatov
21,"Forsius, Merikukka",Vihreät,Merikukka,Forsius, ,2003-2007,Merikukka_Forsius
22,"Gestrin, Christina",RKP,Christina,Gestrin, ,2003-2007,Christina_Gestrin
23,"Granvik, Nils-Anders",RKP,Nils-Anders,Granvik, ,2003-2007,Nils-Anders_Granvik
24,"Gustafsson, Jukka",SDP,Jukka,Gustafsson, ,2003-2007,Jukka_Gustafsson
25,"Haapoja, Susanna",Keskusta,Susanna,Haapoja, ,2003-2007,Susanna_Haapoja
26,"Haatainen, Tuula",SDP,Tuula,Haatainen, Opetusministeri;;Opetusministeri;; Sosiaali- ja terveysministeri;;,2003-2007,Tuula_Haatainen
27,"Halme, Tony",Perussuomalaiset,Tony,Halme, ,2003-2007,Tony_Halme
28,"Harkimo, Leena",Kokoomus,Leena,Harkimo, ,2003-2007,Leena_Harkimo
29,"Hassi, Satu",Vihreät,Satu,Hassi, ,2003-2007,Satu_Hassi
30,"Hautala, Heidi",Vihreät,Heidi,Hautala, ,2003-2007,Heidi_Hautala
31,"Hautala, Lasse",Keskusta,Lasse,Hautala, ,2003-2007,Lasse_Hautala
32,"Heinäluoma, Eero",SDP,Eero,Heinäluoma, Pääministerin sijainen;; Valtiovarainministeri;;,2003-2007,Eero_Heinäluoma
33,"Hellberg, Klaus",SDP,Klaus,Hellberg, ,2003-2007,Klaus_Hellberg
34,"Hemmilä, Pertti",Kokoomus,Pertti,Hemmilä, ,2003-2007,Pertti_Hemmilä
35,"Hemming, Hanna-Leena",Kokoomus,Hanna-Leena,Hemming, ,2003-2007,Hanna-Leena_Hemming
36,"Hiltunen, Rakel",SDP,Rakel,Hiltunen, ,2003-2007,Rakel_Hiltunen
37,"Holmlund, Anne",Kokoomus,Anne,Holmlund, ,2003-2007,Anne_Holmlund
38,"Hoskonen, Hannu",Keskusta,Hannu,Hoskonen, ,2003-2007,Hannu_Hoskonen
39,"Huotari, Anne",Vasemmistoliitto,Anne,Huotari, ,2003-2007,Anne_Huotari
40,"Huovinen, Susanna",SDP,Susanna,Huovinen, Liikenne- ja viestintäministeri;;,2003-2007,Susanna_Huovinen
41,"Hurskainen, Sinikka",SDP,Sinikka,Hurskainen, ,2003-2007,Sinikka_Hurskainen
42,"Hyssälä, Liisa",Keskusta,Liisa,Hyssälä, Peruspalveluministeri;;Peruspalveluministeri;;,2003-2007,Liisa_Hyssälä
43,"Häkämies, Jyri",Kokoomus,Jyri,Häkämies, ,2003-2007,Jyri_Häkämies
44,"Hänninen, Tuomo",Keskusta,Tuomo,Hänninen, ,2003-2007,Tuomo_Hänninen
45,"Immonen, Mikko",Vasemmistoliitto,Mikko,Immonen, ,2003-2007,Mikko_Immonen
46,"Itälä, Ville",Kokoomus,Ville,Itälä, ,2003-2007,Ville_Itälä
47,"Jaakonsaari, Liisa",SDP,Liisa,Jaakonsaari, ,2003-2007,Liisa_Jaakonsaari
48,"Jansson, Roger",RKP,Roger,Jansson, ,2003-2007,Roger_Jansson
49,"Juhantalo, Kauko",Keskusta,Kauko,Juhantalo, ,2003-2007,Kauko_Juhantalo
50,"Jäätteenmäki, Anneli",Keskusta,Anneli,Jäätteenmäki, Pääministeri;;,2003-2007,Anneli_Jäätteenmäki
51,"Kaikkonen, Antti",Keskusta,Antti,Kaikkonen, ,2003-2007,Antti_Kaikkonen
52,"Kalli, Timo",Keskusta,Timo,Kalli, ,2003-2007,Timo_Kalli
53,"Kallio, Reijo",SDP,Reijo,Kallio, ,2003-2007,Reijo_Kallio
54,"Kalliomäki, Antti",SDP,Antti,Kalliomäki, Pääministerin sijainen;; Valtiovarainministeri;;Pääministerin sijainen;; Valtiovarainministeri;; Opetusministeri;;,2003-2007,Antti_Kalliomäki
55,"Kallis, Bjarne",Kristillisdemokraatit,Bjarne,Kallis, ,2003-2007,Bjarne_Kallis
